name,neg_sentences_perc,neu_sentences_perc,pos_sentences_perc,avg_neg,avg_neu,avg_pos,avg_comp
The Voyage Out,22.502508241364485,36.491328651282785,41.006163107352734,0.07347212268883475,0.8033373942955392,0.12319048301562235,0.11233663465672919
Night and Day,23.748173728250762,31.45172001593837,44.80010625581086,0.07833749501925887,0.7876020719883102,0.13405870633550243,0.13233049541771733
Monday or Tuesday,20.56239015817223,45.69420035149385,33.74340949033392,0.07387346221441124,0.8149455184534261,0.11118101933216168,0.0771302284710016
Jacob's Room,20.86752637749121,49.560375146541624,29.572098475967177,0.0676570926143025,0.8439240914419689,0.08842379835873383,0.05591644196951939
Mrs Dalloway,20.87614926987561,44.83504597079503,34.28880475932937,0.08254407787993502,0.7970500270416438,0.12040237966468363,0.09130630070308285
To the Lighthouse,21.461057418988062,42.382035247299605,36.15690733371234,0.07834422967595217,0.8036222285389437,0.11803013075611157,0.08896802160318372
Orlando,23.469088778200994,37.943158511573394,38.58775271022561,0.07929680632874304,0.8017907998828029,0.11891942572516848,0.10017594491649577
The Waves,22.27360308285164,49.69171483622351,28.034682080924856,0.07947167630057804,0.8267462427745644,0.09378111753371875,0.036466127167629966
Flush,27.852193995381064,47.71362586605081,24.43418013856813,0.09343972286374128,0.824173210161663,0.0823838337182447,0.007876166281755232
The Years,14.70196716462062,63.29684957846472,22.001183256914658,0.05332206774145843,0.869667578760536,0.07700931814820262,0.04413657003401881
Between the Acts,13.425593098490294,67.43350107836089,19.140905823148813,0.047873831775700905,0.8861908698777868,0.06593439971243702,0.03922237598849756
