name,count_words_total,count_words_distinct,distinct_words_per_1000_words
The Voyage Out,146530,10929,74.58540913123593
Night and Day,177794,11734,65.9977277073467
Monday or Tuesday,19637,3796,193.30855018587363
Jacob's Room,57977,7450,128.4992324542491
Mrs Dalloway,65816,7150,108.63619788501276
To the Lighthouse,71214,6813,95.66939085011374
Orlando,80442,9452,117.5008080356033
The Waves,78626,8924,113.49935135960115
Flush,35311,5293,149.8966327773215
The Years,138161,8568,62.01460614789991
Between the Acts,48288,6535,135.33383035122597
